CODEN	ISSN	Serial Title	Publisher Name	
LANGD5	0743-7463	Langmuir	ACS	
LCPRET	0169-0965	Language and Cognitive Processes	"Lawrence Erlbaum Associates, Publishers Inc"	
LADEEI	0927-3034	Languages of Design	Elsevier Science Publishers B.V.	
LCTHAF	0455-2059	Lanzhou Daxue Xuebao/Journal of Lanzhou University	Lanzhou Univ	
LPBEDA	0263-0346	Laser and Particle Beams	Cambridge Univ Press	
LSCHDB	0278-6273	Laser Chemistry	Gordon Breach Sci Publ Inc	
LFWOE8	0740-2511	Laser Focus World	PennWell Publ Co	
LIAAED		"Laser Institute of America, Proceedings"	Laser Inst of America Proc	
LAOPD3	0722-9003	Laser und Optoelektronik	A T Fachverlag GmbH	
LAOPE4	0892-9947	Lasers & Optronics	Gordon Publications Inc	
LAENEG	0898-1507	Lasers in Engineering	Gordon & Breach Science Publ Inc	
LMSCEZ	0268-8921	Lasers in Medical Science	W. B. Saunders Co. Ltd.	
LKZUE8	0868-8249	Latvijas Kimijas Zurnals/Latvian Journal of Chemistry	Zinatne/Sci Publ House	
001768	0895-5441	LC - GC International	"Advanstar Communications, Inc"	
002182	1266-0167	Le Vide Science and Technique and Applications	Soc Francaise du Vide	
LEEDFF	1070-485X	"Leading Edge (Tulsa, OK)"	Soc of Exploration Geophysicists	
BLPIEN	1068-3356	Lebedev Physics Institute. Bulletin	Allerton Press Inc	
LBWTAP	0023-6438	Lebensmittel - Wissenschaft und - Technologie/ Food Science and Technology	Academic Press Ltd	
LEBEE2	0937-1478	Lebensmittelchemie	Wiley-VCH Verlag GmbH	
LNAIE4		Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in   Computer Science)	Springer-Verlag GmbH & Company KG	
LNCSD9	0302-9743	Lecture Notes in Computer Science	Springer-Verlag GmbH & Company KG	
LNENE5	0176-5035	Lecture Notes in Engineering	Springer-Verlag New York	
LNMAA2	0075-8434	Lecture Notes in Mathematics	Springer-Verlag GmbH & Company KG	
LNPHA4	0075-8450	Lecture Notes in Physics	Springer-Verlag GmbH & Company KG	
001732	0075-8469	Lecture Notes in Pure and Applied Mathematics	Marcel Dekker Inc	
001638	1099-4724	LEOS Summer Topical Meeting	IEEE	
002906	0847-2645	Les Papetieres du Quebec	Southam Inc	
LSNCAE	0024-1105	Lesnictvi/ Journal of Forest Science	Artia Foreign Trade Corporation	
LMPHDY	0377-9017	Letters in Mathematical Physics	Kluwer Academic Publishers	
LCGCE7	0888-9090	LG -GC	"Advanstar Communications, Inc"	
LITOFF		LIA Today	Laser Inst of America	
LISHEM	1002-106X	Lianyou Sheji/Petroleum Refinery Engineering	Petrochem Eng Corp	
LSREEA	0742-5759	Library Software Review	Sage Sci Press	
002235	0947-3440	Liebigs Annalen: Organic and Bioorganic Chemistry	Wiley-VCH Verlag GmbH	
LMAGAL	0024-3345	Light Metal Age	Fellom Publ Co	
LMPMDF	0147-0809	"Light Metals: Proceedings of Sessions, TMS Annual Meeting (Warrendale,   Pennsylvania)"	"Minerals, Metals & Materials Soc (TMS)"	
LGDAAA	0360-6325	Lighting Design and Application: LD & A	Illum Eng Soc North Am	
LIJOEW	0950-4559	"Lighting Journal (Rugby, England)"	Institution of Lighting Engineers	
LRTEA9	0024-3426	Lighting Research & Technology	CIBSE	
002785	0741-5834	Lightwave	PennWell Publ Co	
LJHFE2	1001-4020	Lihua Jianyan: Huaxue Fence/Physical Testing and Chemical Analysis Part   B:Chemical Analysis	Shanghai Research Inst of Materials	
LHYGD7	0253-2417	Linchan Huaxue Yu Gongye/Chemistry and Industry of Forest Products	Chem Ind For Prod	
LLJOEJ	0896-4130	Lincoln Laboratory Journal	MIT Press	
LAAPAW	0024-3795	Linear Algebra and Its Applications	Elsevier Science Inc	
LIUPDL	0739-988X	Link-Up	"Inf Today, Inc."	
LPDSAP	0024-4201	Lipids	American Oil Chemists' Soc	
LICRE6	0267-8292	Liquid Crystals	Taylor & Francis Ltd	
LIPRAX	0024-449X	Liteinoe Proizvodstvo	Mezhdunarodnaya Kniga	
LLSCFT	1007-3124	Liuti Lixue Shiyan yu Celiang/Experiments and Measurements in Fluid Mechanics	Zhongguo Kongqi Dongli Yanjiu yu Fazhan Zhongxin	
LVMDAX	0024-5399	Livsmedelsteknik	Livsmedelsteknik	
LJYXE5	1001-5493	Lizi Jiaohuan Yu Xifu/Ion Exchange and Adsorption	Tianjin Nankai Daxue	
LGALAS	0024-581X	Log Analyst	Soc of Professional Well Log Analysts Inc	
000304		Logic Programming and Non-monotonic Reasoning - Proceedings	MIT Press	
LGTRA5	0047-4991	Logistics and Transportation Review	Univ BC	
LOUNEO	0930-7834	Logistik Im Unternehmen	Springer-VDI-Verlag GmbH & Co. KG	
LRPJA4	0024-6301	Long Range Planning	Elsevier Science Ltd	
LUGRF9	1080-9449	Lubes-n-Greases	"LNG Publ Comp, Inc."	
LUENAG	0024-7154	Lubrication Engineering	Soc of Tribologists & Lubrication Engineers	
LUSCEN	0954-0075	Lubrication Science	Leaf Coppin Publ Ltd	
MEATEJ	0104-0898	M & M - Metalurgia & Materiais	Associacao Brasileira de Metais	
MADEAP	0024-9114	Machine Design	Penton Publ Inc	
MALEEZ	0885-6125	Machine Learning	Kluwer Academic Publishers	
MACTEZ	0922-6567	Machine Translation	Kluwer Academic Publishers	
MVAPEO	0932-8092	Machine Vision and Applications	Springer-Verlag GmbH & Company KG	
MPREAU	0024-919X	Machinery and Production Engineering	Findlay Publ Ltd	
MSTEFW	1091-0344	Machining Science and Technology	Marcel Dekker Inc	
MCPHD9	1022-1352	Macromolecular Chemistry and Physics	Huethig & Wepf Verlag	
MAMOBX	0024-9297	Macromolecules	ACS	
MACWEA	0741-8647	MacWorld	PCW Commun Inc	
MCORAV	0024-9831	Magazine of Concrete Research	Thomas Telford Services Ltd	
MABUDW	0172-908X	Magnesium Bulletin/Gesellschaft fuer Magnesium-Forschung	Verlag fuer Medizin Dr. Eward Fischer GmbH	
MELSE3	1055-6915	Magnetic and Electrical Separation	Gordon & Breach Science Publ Inc	
MRCHEG	0749-1581	Magnetic Resonance in Chemistry	John Wiley & Sons Ltd	
MRSRBL	0097-7330	Magnetic Resonance Review	Gordon & Breach Science Publ Inc	
MAGIAI	0025-0015	Magnitnaya Gidrodinamika	Mezhdunarodnaya Kniga	
MGKFA3	0025-0155	Magyar Kemiai Folyoirat	Lapkiado Vallalat	
MMTIBW	0377-7537	Man-Made Textiles in India	Silk Art Silk Mills' Res Assoc	
MSCIAM	0025-1909	Management Science	INFORMS	
MASEDZ	0307-6768	Management Services	Institute of Management Services	
MAAUES	0895-3805	Managing Automation	Thomas Publ Co	
MSYDEJ	0275-6617	Managing System Development	"Applied Computer Research, Inc."	
MECEAE	0734-7685	"Manuals and Reports on Engineering Practice, American Society of Civil   Engineers"	ASCE	
003232	1523-4614	Manufacturing and Service Operations Management	INFORMS	
MCHMDI	0262-4230	Manufacturing Chemist	Miller Freeman plc	
MCSOFD	1358-1066	Manufacturing Computer Solutions	Findlay Publ Ltd	
MNFEES	0956-9944	Manufacturing Engineer	IEE	
MAENDQ	0361-0853	Manufacturing Engineering	SME	
MASYES	0748-948X	Manufacturing Systems	Cahners Bus Inf	
MBCNFP	0121-618X	Mari Board Converting News	Latin Press Inc	
MAPAFA	0121-6554	Mari Papel	Latin Press Inc	
MPEGD8	0264-8172	Marine and Petroleum Geology	Elsevier Science Ltd	
MERSDW	0141-1136	Marine Environmental Research	Elsevier Science Ltd	
MAGEA6	0025-3227	Marine Geology	Elsevier Science Publishers B.V.	
MGYRA7	0025-3235	Marine Geophysical Researches	Kluwer Academic Publishers	
MGGEEI	1064-119X	Marine Georesources and Geotechnology	Taylor & Francis Ltd	
MALOEV	0897-0491	Marine Log	Simmons-Boardman Publ Corp	
MAMIDH	0377-8398	Marine Micropaleontology	Elsevier Science B.V.	
MPNBAZ	0025-326X	Marine Pollution Bulletin	Elsevier Science Ltd	
MSTRE2	0951-8339	Marine Structures	Elsevier Science Ltd	
MARTA4	0025-3316	Marine Technology	Soc of Naval Architects & Marine Engineers	
MTSJBB	0025-3324	Marine Technology Society Journal	Marine Technology Soc	
001883	0341-5775	Maschinenmarkt	Vogel Verlag und Druck KG	
MSSYBF	0305-9987	Mass Spectrometry	Royal Society of Chemistry	
MSRVD3	0277-7037	Mass Spectrometry Reviews	John Wiley & Sons Inc	
MHENA4	0025-5262	Material Handling Engineering	Penton Publ Inc	
MTOGAF	0025-5270	Material und Organismen	Duncker und Humblot GmbH	
MCUAAA	0465-2746	Materiales de Construccion	Inst de Ciencias de la Constr Eduardo Torroja	
MTPRAJ	0025-5300	Materialpruefung/Materials Testing	Carl Hanser Verlag	
MADSD2	0264-1275	Materials & Design	Elsevier Science Ltd	
MMAPET	1042-6914	Materials and Manufacturing Processes	Marcel Dekker Inc	
MASTED	1359-5997	Materials and Structures/Materiaux et Constructions	RILEM Publ	
MHTEEM	0960-3409	Materials at High Temperatures	Sci Technol Letters	
MACHEX	1044-5803	Materials Characterization	Elsevier Science Publ Co Inc	
MCHPDR	0254-0584	Materials Chemistry and Physics	Elsevier Sequoia SA	
MAEVAD	0025-5327	Materials Evaluation	American Soc for Nondestructive Testing	
MFOREM	0883-2900	Materials Forum	Inst of Metals & Materials Australasia	
MAHNA4	0025-5351	Materials Handling News	Reed Bus Inf Ltd	
MLETDJ	0167-577X	Materials Letters	Elsevier Science B.V.	
MTPFBI	0094-1492	Materials Performance	NACE	
MRBUAC	0025-5408	Materials Research Bulletin	Elsevier Science Ltd	
MRSPDH	0272-9172	Materials Research Society Symposium - Proceedings	Materials Research Society	
MSCIEQ	1068-820X	Materials Science	Plenum Publ Corp	
MSAPE3	0921-5093	"Materials Science & Engineering A: Structural Materials: Properties,   Microstructure and Processing"	Elsevier Sequoia SA	
MSBTEK	0921-5107	Materials Science & Engineering B: Solid-State Materials for Advanced   Technology	Elsevier Sequoia SA	
MSCEEE	0928-4931	"Materials Science & Engineering C: Biomimetic Materials, Sensors and Systems"	Elsevier Sequoia SA	
MIGIEA	0927-796X	Materials Science & Engineering: R: Reports	Elsevier Sequoia SA	
MSCTEP	0267-0836	Materials Science and Technology	Inst of Materials	
MSFOEP	0255-5476	Materials Science Forum	Trans Tech Publ	
MSSPFQ	1369-8001	Materials Science in Semiconductor Processing	Elsevier Sci Ltd	
	1341-1683	Materials Science Research International	Marcel Dekker Inc	
MATTEI	1066-7857	Materials Technology	Matrice Tech Ltd.	
MTJIEY	0916-1821	"Materials Transactions, JIM"	Japan Inst of Metals	
MORLEE	0967-8638	Materials World	Inst of Materials	
MATWER	0933-5137	Materialwissenschaft und Werkstofftechnik	Wiley-VCH Verlag GmbH	
MCAPFS	1300-686X	Mathematical & Computational Applications	Assoc Sci Res	
MCMOEG	0895-7177	Mathematical and Computer Modelling (Oxford)	Elsevier Advanced Technology	
MABIAR	0025-5564	Mathematical Biosciences	Elsevier Science Inc	
MENIEH	0169-121X	Mathematical Engineering in Industry	VSP BV	
MATGED	0882-8121	Mathematical Geology	Plenum Publ Corp	
002506		"Mathematical Methods in Electromagnetic Theory, MMET, Conference Proceedings"	IEEE	
MMSCDB	0170-4214	Mathematical Methods in the Applied Sciences	John Wiley & Sons Ltd	
002864	1432-2994	Mathematical Methods of Operations Research	Physica-Verlag	
MPSAER		"Mathematical Programming, Series A"	Elsevier Science Publishers B.V.	
MPSBEU	0025-5610	"Mathematical Programming, Series B"	Elsevier Science B.V.	
000310		Mathematical Revolution Inspired by Computing - Proceedings	Oxford Univ Press	
000175		Mathematical Structures for Software Engineering	Oxford Univ Press	
MCSIDR	0378-4754	Mathematics and Computers in Simulation	Elsevier Science Publishers B.V.	
002355	1081-2865	Mathematics and Mechanics of Solids	Sage Sci Press	
MCMPAF	0025-5718	Mathematics of Computation	Am Math Soc	
MCSYE8	0932-4194	"Mathematics of Control, Signals, and Systems"	Springer-Verlag New York	
MOREDQ	0364-765X	Mathematics of Operations Research	INFORMS	
MBPREX		MB Produktietechniek	De Vey Mestdagh BV	
MEACBX	0020-2940	Measurement & Control	Inst of Measurement & Control	
MSTCEP	0957-0233	Measurement Science & Technology	IOP	
MSTCAL	0543-1972	Measurement Techniques (English translation of Izmeritel'naya Tekhnika)	Plenum Publ Corp	
MSRMDA	0263-2241	Measurement: Journal of the International Measurement Confederation	Elsevier Science Publishers B.V.	
MECCB9	0025-6455	Meccanica	Kluwer Academic Publishers	
MEENAH	0025-6501	Mechanical Engineering	ASME	
MSSPEP	0888-3270	Mechanical Systems & Signal Processing	Academic Press Ltd	
MWSPEJ	0147-7781	Mechanical Working and Steel Processing Conference Proceedings	Iron & Steel Soc of AIME	
MCFMFA	1082-5010	Mechanics of Cohesive-Frictional Materials	John Wiley & Sons Inc	
MCOSE4	1075-9417	Mechanics of Composite Materials and Structures	John Wiley & Sons Ltd	
MSMSD3	0167-6636	Mechanics of Materials	Elsevier Science Publishers B.V.	
MSMAEI	0890-5452	Mechanics of Structures and Machines	Marcel Dekker Inc	
MRCOD2	0093-6413	Mechanics Research Communications	Elsevier Science Ltd	
MTDMFH	1385-2000	Mechanics Time-Dependent Materials	Kluwer Academic Publishers	
MHMTAS	0094-114X	Mechanism & Machine Theory	Elsevier Science Ltd	
MECHER	0957-4158	Mechatronics	Elsevier Science Ltd	
MBECDY	0140-0118	Medical & Biological Engineering & Computing	Peter Peregrinus Ltd	
MDIIDI	0194-844X	Medical Device and Diagnostic Industry	Canon Communications Inc	
MEPHEO	1350-4533	Medical Engineering & Physics	Elsevier Science Ltd	
MINFDZ	0307-7640	Medical Informatics	Taylor & Francis Ltd	
MTPEEI		Meditsina Truda I Promyshlennaya Ekologiya	Izdatel'stvo Meditsina	
MRRBE5		Meditsinskaya Radiologiya I Radiatsionnaya Bezopasnost'	Izdatel'stvo Meditsina	
MEDTBV	0025-8075	Meditsinskaya Tekhnika	Izdatel'stvo Meditsina	
001109		Medium and High Energy Nuclear Physics - Proceedings	World Scientific Publ Co	
MESUEA	0352-5406	Mehanizacija Sumarstva	University of Zagreb	
CSTPDL	0253-2336	Meitan Kexun Jishu/Coal Science and Technology (Peking)	Coal Science & Technology	
MTHPDA	0253-9993	Meitan Xuebao/Journal of China Coal Society	China Coal Soc	
MDYKE3	1001-1986	Meitiandizhi Yu Kantan/Coal Geology & Exploration	China Int Book Trading Corp	
MKMADT	0135-7492	Mekhanika Kompozitnykh Materialov	Mezhdunarodnaya Kniga	
MTIRDL	0931-9735	Melliand Textilberichte/International Textile Reports	Melliand Textilber Gmbh	
MLTSEO	0895-7738	Melts	Plenum Publ Corp	
MCPGD6	0703-1130	Memoir	Can Soc of Pet Geol	
MFEKAF	0368-9638	"Memoirs of the Faculty of Engineering, Kobe University"	Kobe Univ	
MEKMAA	0023-5334	"Memoirs of the Faculty of Engineering, Kumamoto University"	Kumamoto Univ	
MEKYAC	0023-6063	"Memoirs of the Faculty of Engineering, Kyoto University"	Kyoto Univ	
MEKSAS	0023-6160	"Memoirs of the Faculty of Engineering, Kyushu University"	Kyushu Univ	
MENAAN	0919-0805	"Memoirs of the School of Engineering, Nagoya University"	Nagoya Univ	
MENCEX	0959-9436	Mendeleev Communications	Thomas Graham House	
MRERBJ	0047-5955	MER Marine Engineers Review	Inst Marine Eng	
MBMNB3	0373-4064	Metal Bulletin Monthly	Metal Bulletin PLC	
MEFIA7	0026-0576	Metal Finishing	Elsevier Science Inc	
001949	1040-967X	Metal Forming	Precis Metal Forming Assoc	
MPATFT	1024-9087	Metal Physics and Advanced Technologies	Gordon & Breach Science Publ Inc	
MPWRAQ	0026-0657	Metal Powder Report	Elsevier Science Ltd	
MHTRAN	0026-0673	Metal Science and Heat Treatment	Plenum Publ Corp	
MEMTEB	0264-7303	"Metallic Materials (English translation of Kovove Materialy) (Cambridge,   Engl)"	Riecansky Science Publishing Co	
MEKHEX		Metalloorganicheskaya Khimiya	Mezhdunarodnaya Kniga	
MTOMAX	0026-0819	Metallovedenie i Termicheskaya Obrabotka Metallov	Mezhdunarodnaya Kniga	
METGA3	0026-0827	Metallurg	Mezhdunarodnaya Kniga	
MEMFAX	0141-8602	Metallurgia	Argus Bus Media Ltd	
MITLAC	0026-0843	Metallurgia Italiana	Assoc Italiana Metallurgia	
MMTAEB	1073-5623	Metallurgical and Materials Transactions A: Physical Metallurgy  and   Materials Science	"Minerals, Metals & Materials Soc (TMS)"	
MTBSEO	1073-5615	Metallurgical and Materials Transactions B: Process Metallurgy   and   Materials Processing Science	"Minerals, Metals & Materials Soc (TMS)"	
MRMMED	0289-6214	Metallurgical Review of MMIJ (Mining and Metallurgical Institute of Japan)	Mining & Metallurgical Inst of Japan	
MGPNAL	0543-5749	Metallurgicheskaya i Gornorudnaya Promyshlennost	Mezhdunarodnaya Kniga	
MTLUA8	0026-0894	Metallurgist (English Translation of Metallurg)	Plenum Publ Corp	
MEALET		Metally	Mezhdunarodnaya Kniga	
MINNEQ	0265-8321	Metals Industry News	DMG Bus Media Ltd	
MYELAF	0026-0991	Metalurgia y Electricidad	Metalurgia y Electricidad	
METABK	0543-5846	Metalurgija/Metallurgy	CMS	
MWPDAW	0026-1033	Metalworking Production	Miller Freeman plc	
MEGIAC	0130-2906	Meteorologiya i Gidrologiya	Mezhdunarodnaya Kniga	
MAPHEU	0177-7971	Meteorology and Atmospheric Physics	Springer-Verlag Wien	
MTRGAU	0026-1394	Metrologia	Bur Int des Poids et Mes	
MSNEF2		Metsa-Serla News	Metsa-Serla Corp	
MICRFI	1081-0595	MICRO	Canon Communications Inc	
MICJAN	0026-265X	Microchemical Journal	Academic Press Inc	
MIAPEZ	0820-0750	Microcomputer Applications	ISMM	
MIENEF	0167-9317	Microelectronic Engineering	Elsevier Science Publishers B.V.	
MCRLAS	0026-2714	Microelectronics and Reliability	Elsevier Science Ltd	
002239		Microelectronics International	MCB Univ Press Ltd	
MICEB9	0026-2692	Microelectronics Journal	Elsevier Science Ltd	
MSTYEN	0938-0108	Microgravity Science and Technology	Carl Hanser Verlag	
MCWRE7	1074-407x	Microlithography World	PennWell Publ Co	
003088	1387-1811	Microporous and Mesoporous Materials	Elsevier Sci B.V.	
MIMID5	0141-9331	Microprocessors and Microsystems	Elsevier Science B.V.	
MSJOEB	0889-9932	Microsoft Systems Journal	Miller Freeman Publ Inc	
MSSCDJ	0361-1213	Microstructural Science	Int Metallographic Soc	
002330		Microsystem Technologies	Springer-Verlag GmbH & Company KG	
MOTLEO	0895-2477	Microwave and Optical Technology Letters	John Wiley & Sons Inc	
MEEUE8	0960-667X	Microwave Engineering Europe	Miller Freeman plc	
MCWJAD	0192-6225	Microwave Journal	Horizon House	
000275		Microwave Power Symposium	Int Microwave Power Inst	
MIWOD5	0276-7961	Microwave World	Int Microwave Power Inst	
MIRFDL	0745-2883	Microwaves & RF	Penton Publ Inc	
MSCSDL		Midwest Symposium on Circuits and Systems	IEEE	
MIACAQ	0026-3672	Mikrochimica Acta	Springer-Verlag Wien	
MKETA9	0544-1269	Mikroelektronika	Mezhdunarodnaya Kniga	
MILEAJ	0026-3982	Military Engineer	Soc Am Mil Eng	
001938	0899-5605	Military Psychology	"Lawrence Erlbaum Associates, Publishers Inc"	
001920	0722-3226	Military Technology: Miltech	Moench Verlagsgesellschaft mbH	
MPNEFF		Mill Product News	Baum Int Media	
MMACEO	0924-6495	Minds and Machines	Kluwer Academic Publishers	
MQRYAT	0369-1632	Mine and Quarry	Herald House Ltd	
MPERE8	0882-7508	Mineral Processing and Extractive Metallurgy Review	Gordon & Breach Science Publ Inc	
003203	0950-6098	Mineral Resources Engineering	World Sci Publ Co Pte Ltd	
MNLMBB	0026-461X	Mineralogical Magazine	Mineralogical Soc of Great Britain	
MSBUDM	0263-9513	Mineralogical Society Bulletin	Mineralogical Soc of Great Britain	
MIPEE9	0930-0708	Mineralogy and Petrology	Springer-Verlag Wien	
MMPRE8	0747-9182	Minerals & Metallurgical Processing	"Soc for Mining, Metallurgy & Exploration Inc"	
MENGEB	0892-6875	Minerals Engineering	Elsevier Science Ltd	
MIENAB	0026-5187	"Mining Engineering (Littleton, Colorado)"	"Soc for Mining, Metallurgy & Exploration Inc"	
MMALAD	0308-6631	Mining Magazine	Mining Journal Ltd	
MMIRE7		Mining Mirror	Brooke Pattrick SA (Pty) Ltd	
MNGTB7	0026-5276	Mining Technology	Inst of Mining Engineers	
MIVOF2	1080-6121	Mining Voice	Nat Mining Assoc	
MISQDP	0276-7783	MIS Quarterly: Management Information Systems	M I S Res Center	
MTDNAF	0369-2302	Mitsubishi Denki Giho	Mitsubishi Denki Gihosha	
MEADD4	0386-5096	Mitsubishi Electric Advance	Mitsubishi Electric Corp	
MDFREV	1434-8462	Mitteilung - Deutsche Forschungsanstalt fuer Luft- und Raumfahrt	DLR	
MOFEAV	0026-0797	MO Metalloberflache Beschichten von Metall und Kunststoff	Carl Hanser Verlag	
002088		Mobile Computing Systems and Applications - Workshop Proceedings	IEEE	
002498	1383-469X	Mobile Networks and Applications	Baltzer Sci Publ	
MAXUE7	1004-0595	Mocaxue Xuebao/Tribology	Science Press	
MIDCDA	0332-7353	"Modeling, Identification and Control"	Res Council Norw	
MSMEEU	0965-0393	Modelling and Simulation in Materials Science and Engineering	IOP	
MMAEEU	1259-5985	"Modelling, Measurement & Control A"	AMSE Press	
MMBTEC	1259-5969	"Modelling, Measurement & Control B"	AMSE Press	
MMCPE5	0761-2524	"Modelling, Measurement & Control C"	AMSE Press	
MMSPEH	1240-4551	"Modelling, Measurement & Control D"	AMSE Press	
MOCAB5	0026-7562	Modern Casting	American Foundrymen's Soc	
MOGEB3	0026-7775	Modern Geology	Gordon & Breach Science Publ Inc	
MMASAY	0026-8003	Modern Machine Shop	Gardner Publications Inc	
MMHHA2	0026-8038	Modern Materials Handling	Cahners Bus Inf	
MOMLAJ	0026-8127	Modern Metals	Trend Publ	
MPCODM	0098-7786	Modern Paint And Coatings	Premedia Intertec	
MPLAEQ	0217-7323	Modern Physics Letter A	World Scientific Publ Co	
MPLBET	0217-9849	Modern Physics Letter B	World Scientific Publ Co	
MOPLAY	0026-8275	Modern Plastics	McGraw-Hill Inc	
MPINBD	0026-8283	Modern Plastics International	McGraw-Hill Inc	
MPSYDU	0260-7840	Modern Power Systems	Wilmington Publ	
MSLCAF	0026-8445	Modern Steel Construction	AISC	
MKZGA7	0021-4795	Mokuzai Gakkaishi/Journal of the Japan Wood Research Society	Nippon Mokuzai Gakkai/Jpn wood Res Soc	
MOSYFP		Molding Systems	SME	
MOCEFL	1097-2765	Molecular Cell	Cell Press	
MCLOEB	1058-7268	Molecular Crystals and Liquid Crystals Science and Technology Section B:   Nonlinear Optics	Gordon & Breach Science Publ Inc	
MCLCE9	1058-725X	"Molecular Crystals and Liquid Crystals Science and Technology, Section A:   Molecular Crystals and Liquid Crystals"	Gordon & Breach Science Publ Inc	
MOPHAM	0026-8976	Molecular Physics	Taylor & Francis Ltd	
MOSIEA	0892-7022	Molecular Simulation	Gordon & Breach Science Publ Inc	
MOCMB7	0026-9247	Monatshefte fuer Chemie	Springer-Verlag Wien	
MOBRDJ	0723-1520	Monatsschrift fuer Brauwissenschaft	Verlag Hans Carl GmbH  Co KG	
MSAMDR	0155-3399	Monograph Series - Australasian Institute of Mining and Metallurgy	Australasian Inst of Mining & Metallurgy	
MSRYA9	0027-0040	Montazhnye i Spetsialnye Raboty v Stroitelstve	Mezhdunarodnaya Kniga	
MNRAA4	0035-8711	Monthly Notices of the Royal Astronomical Society	Blackwell Sci Ltd	
MWREAB	0027-0644	Monthly Weather Review	American Meteorological Soc	
MRZHET	1003-6059	Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial   Intelligence	J Pattern Recognit Artif Intell	
MOSHA3	0027-2000	Motor Ship	Reed Bus Inf Ltd	
MMTIEZ	0935-7254	MPT Metallurgical Plant and Technology International	Verlag Stahleisen mbH	
MRSBEA	0883-7694	MRS Bulletin	Materials Research Society	
MOTZAS	0024-8525	MTZ Motortechnische Zeitschrift	Friedrich Vieweg & Sohn Verlagsgesellschaft mbH	
MUGUAO	0027-2914	Muanyag Es Gumi/Plastics and Rubber	Lapkiado Vallalat	
MSDYFC	1384-5640	Multibody System Dynamics	Kluwer Academic Publishers	
MUSPE5	0923-6082	Multidimensional Systems and Signal Processing	Kluwer Academic Publishers	
MUSYEW	0942-4962	Multimedia Systems	Springer-Verlag GmbH & Company KG	
MTAPFB	1380-7501	Multimedia Tools and Applications	Kluwer Academic Publishers	
MSTEDU	0276-1459	Multiphase Science and Technology	Begell House Inc Publ	
MUEJAF	0027-3465	Municipal Engineers Journal	Municipal Engineers of the City of New York	
NCTLDI	0341-5163	"Nachrichten aus Chemie, Technik und Laboratorium /Herausgegeben von der   Gesellschaft Deutscher Chemiker"	Wiley-VCH Verlag GmbH	
NTELAP	0323-4657	Nachrichtentechnik Elektronik	VEB Verlag Technik	
NACAEN	1001-1935	Naihuo Cailiao/Refractories	Luoyang Naihuo Cailiao Yanjiusuo	
NHHXEU	1005-2615	Nanjing Hangkong Hangtian Daxue Xuebao/Journal of Nanjing University of   Aeronautics & Astronautics	NUAA	
NLIXET	1005-9830	Nanjing Li Gong Daxue Xuebao/Journal of Nanjing University of Science and   Technology	Nanjing Univ Sci Technol	
NYXUEG	1000-1972	Nanjing Youdian Xueyuan Xuebao/Journal of Nanjing Institute of Posts and   Telecommunications	Journal of Nanjing Institute of Posts and Telecommunications	
NMAEE7	0965-9773	Nanostructured Materials	Elsevier Science Ltd	
NNOTER	0957-4484	Nanotechnology	IOP	
NEADFH		NAPL Environmental Advisor	NAPL	
NACPDX	0191-7811	NASA Conference Publication	NASA	
NSCRAQ	0565-7059	NASA Contractor Reports	NASA	
NRPUDS	0148-8589	NASA Reference Publication	NASA	
NATMA4	0499-9320	NASA Technical Memorandum	NASA	
NTPADG	0148-8341	NASA Technical Paper	NASA	
NASLDX	0250-541X	"National Academy of Sciences, India. Science Letters"	National Academy of Sciences	
NASEA9		"National Aerospace and Electronics Conference, Proceedings of the IEEE"	IEEE	
RNBIE7		"National Building Research Institute, Research Report"	Technion Israel Inst of Technology	
000077		"National Computer Graphics Association, NCGA - Conference Proceedings"	NCGA	
NCEEDO	0731-1516	National Conference on Environmental Engineering	ASCE	
NPIEDX	0313-6922	"National Conference Publication - Institution of Engineers, Australia"	IE Aust	
NEPPAL	0470-0155	National Electronic Packaging and Production Conference-Proceedings of the   Technical Program (West and East)	Reed Exhibition Companies	
NAENAY	0027-9218	National Engineer	Natl Assoc of Power Engineers Inc	
NGGMAF	0027-8358	National Geographic	Nat Geogr Soc	
002464		"National Radio Science Conference, NRSC, Proceedings"	IEEE	
NASBD3	0161-0570	"NATO Advanced Study Institutes Series, Series B: Physics"	Plenum Publ Corp	
NABPDS	0258-1221	"NATO ASI Series, Series B: Physics"	Kluwer Academic/Plenum Publ Corp	
NLENFE	1351-3249	Natural Language Engineering	Cambridge Univ Press	
NRFODS	0165-0203	Natural Resources Forum	Elsevier Science Ltd	
NTSOF7		Natural Solutions	Cahners Bus Inf	
002287	0039-1778	Natural Stone Specialist	Herald House Ltd	
NATUAS	0028-0836	Nature	Macmillan Magazines Ltd	
NABIF9	1087-0156	Nature Biotechnology	Nature Publishing Co.	
NATWAY	0028-1042	Naturwissenschaften	Springer-Verlag GmbH & Company KG	
NVARA3	0306-0209	Naval Architect	Royal Inst of Naval Architects	
NVEJAX	0028-1425	Naval Engineers Journal	ASNE	
NRLOEP	0894-069X	Naval Research Logistics	John Wiley & Sons Inc	
NVGNAL	0028-1530	Navigation (Paris)	Inst Francais Navig	
NAVIB3	0028-1522	"Navigation, Journal of the Institute of Navigation"	Inst of Navigation	
003191		NCASI Special Report	NCASI	
003046	0886-0882	NCASI Technical Bulletin	NCASI	
